Mehdi	Time			Temp	SetPoint						
PID_out	865	49,9	2	193	200	100	10	100			
PID_out	866	50	1	194	200	100	10	100			
PID_out	867	50,1	1	194	200	100	10	100			
PID_out	868	50,2	2	194	200	100	10	100			
PID_out	869	50,3	0	195	200	100	10	100			
PID_out	870	50,4	1	195	200	100	10	100			
PID_out	871	50,5	1	195	200	100	10	100			
PID_out	872	50,6	1	195	200	100	10	100			
PID_out	873	50,7	1	195	200	100	10	100			
PID_out	874	50,8	2	195	200	100	10	100			
PID_out	875	50,9	0	196	200	100	10	100			
PID_out	876	51	1	196	200	100	10	100			
PID_out	877	51,1	1	196	200	100	10	100			
PID_out	878	51,2	1	196	200	100	10	100			
PID_out	879	51,3	1	196	200	100	10	100			
PID_out	880	51,4	1	196	200	100	10	100			
PID_out	881	51,5	0	197	200	100	10	100			
PID_out	882	51,6	0	197	200	100	10	100			
PID_out	883	51,7	0	197	200	100	10	100			
PID_out	884	51,8	1	197	200	100	10	100			
PID_out	885	51,9	1	197	200	100	10	100			
PID_out	886	52	1	197	200	100	10	100			
PID_out	887	52,1	1	197	200	100	10	100			
PID_out	888	52,2	1	197	200	100	10	100			
PID_out	889	52,3	1	197	200	100	10	100			
PID_out	890	52,4	0	198	200	100	10	100			
PID_out	891	52,5	0	198	200	100	10	100			
PID_out	892	52,6	0	198	200	100	10	100			
PID_out	893	52,7	0	198	200	100	10	100			
PID_out	894	52,8	0	198	200	100	10	100			
PID_out	895	52,9	380	198	450	100	10	100			
PID_out	905	53,9	282	268	450	100	10	100			
PID_out	912	54,6	213	320	450	100	10	100			
PID_out	918	55,2	160	360	450	100	10	100			
PID_out	922	55,6	121	389	450	100	10	100			
PID_out	925	55,9	90	412	450	100	10	100			
PID_out	928	56,2	68	428	450	100	10	100			
PID_out	930	56,4	49	441	450	100	10	100			
PID_out	932	56,6	36	450	450	100	10	100			
PID_out	933	56,7	26	457	450	100	10	100			
PID_out	934	56,8	18	462	450	100	10	100			
PID_out	935	56,9	13	465	450	100	10	100			
PID_out	936	57	9	467	450	100	10	100			
PID_out	937	57,1	6	469	450	100	10	100			
PID_out	938	57,2	3	470	450	100	10	100			
PID_out	939	57,3	1	471	450	100	10	100			
PID_out	940	57,4	0	471	450	100	10	100			
PID_out	941	57,5	0	471	450	100	10	100			
PID_out	942	57,6	-2	471	450	100	10	100			
PID_out	943	57,7	-1	470	450	100	10	100			
